llm_model_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,4,8,256,0,10,268,0,133935547,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,269,0,133995773,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,270,0,134056443,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,271,0,134128808,8,84,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,272,0,134189568,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,273,0,134262673,8,76,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,274,0,134323849,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,275,0,134385070,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,276,0,134444804,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,277,0,134506764,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,278,0,134566867,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,279,0,134628191,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,280,0,134696044,8,48,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,281,0,134754988,8,0,8,0,0,0
